;;;;;;;Grundsicherung für Arbeitsuchende nach dem SGB II
;;;;;;;
1. Leistungskürzung durch Sanktion gegenüber erwerbsfähigen Leistungsberechtigten (ELB);;;;;;;
Deutschland, West/Ost, Länder und Jobcenter;;;;;;;
Berichtsmonat September 2021;;;;;;;
;;;;;;;
Lesehilfe:  Die Sanktionen bewirkten bundesweit bei knapp 34.000 ELB mit mindestens einer Sanktion im Berichtsmonat September 2021;;;;;;;
eine durchschnittliche Kürzung des laufenden Leistungsanspruchs um 16%. Dies entspricht einer durchschnittlichen Kürzung um 99 Euro. ;;;;;;;
;;;;;;;
Regionen;Träger-nummer;Insgesamt;;;dar. unter 25 Jahre;;
;;Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)";Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)"
;;;;;;;
Rheinland-Pfalz;7;1.890;16,9;101,33;318;17,6;83,95
JC Bad Kreuznach;51102;11;20,7;124,86;*;30,9;113,7
JC Birkenfeld;51106;8;21,9;125,4;*;21,1;120,45
JC Rhein-Hunsrück-Kreis;51110;19;17,4;101,86;*;15,4;73,18
JC Donnersbergkreis;51502;25;14,9;87,33;4;22;93,75
JC Kaiserslautern, Stadt;51506;126;16,9;104,15;18;12,1;63,64
JC Kaiserslautern;51510;65;16,1;86,02;10;21,2;88,01
JC Pirmasens, Stadt;51516;62;16,4;107,06;6;19,8;109,98
JC Zweibrücken, Stadt;51518;15;18,4;113,82;*;14;75,15
JC Südwestpfalz;51520;59;18,6;111,98;*;20,5;35,7
JC Kusel;51542;39;13,4;74,14;*;10,9;48,67
JC Koblenz, Stadt;51902;61;15,6;98,56;12;18,2;100,01
JC Cochem-Zell;51904;16;14,5;75,53;*;24,2;76,53
JC Ahrweiler;51906;26;21,7;120,55;5;21,6;118,68
JC Mayen-Koblenz;51908;50;16,3;93,73;13;17,2;94,4
JC Vorderpfalz-Ludwigshafen;52302;208;13,8;77,44;74;16,5;75,95
JC Alzey-Worms;52704;32;12,2;65,89;6;21,9;87,7
JC Mainz, Stadt;52706;162;15,4;105,7;22;18,1;95,98
JC Worms, Stadt;52710;54;17,2;107,84;*;20,9;102,92
JC Mainz-Bingen;52744;54;15,5;97,01;5;11,9;69,58
JC Rhein-Lahn-Kreis;53502;197;20,8;122,33;10;22,2;102,9
JC Westerwaldkreis;53504;88;19,9;107,18;24;20,9;93,94
JC Germersheim;54302;159;16,6;102,69;19;16,3;72,95
JC Landau-Südliche Weinstraße;54308;45;14,7;76,43;17;11,3;49,68
JC Deutsche Weinstraße;54312;44;16,8;100,57;*;10,1;66,9
JC Altenkirchen (Westerwald);54702;50;20;111,31;8;25,3;103,9
JC Neuwied;54708;79;17,1;107,65;7;19;66,3
JC Bernkastel-Wittlich;56302;16;18,3;112,65;*;28;107,1
JC Bitburg-Prüm;56304;42;18,6;122,2;*;15,7;111,5
JC Trier, Stadt;56306;32;19,3;123,42;4;22,3;136,69
JC Trier-Saarburg;56308;15;15;103,47;4;16,8;102,6
JC Vulkaneifel;56310;31;15,4;90,01;3;15,3;63
Baden-Württemberg;8;2.702;16,4;103,37;536;18;92,53
JC Heidenheim;61108;103;13,4;80,76;37;12,5;66,61
JC Ostalbkreis;61146;5;25,4;121,46;*;100;278,22
JC Zollernalbkreis;61402;38;21,4;118,77;3;40,7;104,15
JC Sigmaringen;61406;19;21,4;126,73;4;19,7;120,45
JC Breisgau-Hochschwarzwald;61702;30;12,9;85,29;*;21,5;69,74
JC Emmendingen;61704;13;19,5;97,12;*;28,3;92,2
JC Freiburg im Breisgau, Stadt;61706;120;13,4;86,04;37;16,5;86,56
JC Esslingen;62102;66;14,2;96,27;20;11,9;74,74
JC Göppingen;62106;148;16,8;110,04;30;21,6;113,37
JC Heidelberg, Stadt;62402;48;13;79,45;*;15,4;74,1
JC Rhein-Neckar-Kreis;62404;41;18,6;108,34;*;23,3;98,52
JC Heilbronn, Stadt;62702;53;20,3;121,82;*;19,3;128,06
JC Heilbronn;62704;*;39,2;129,3;-;0;0
JC Karlsruhe, Stadt;63102;42;17,4;114,55;7;17,4;95,3
JC Karlsruhe;63108;237;15,4;100,07;35;16;85,1
JC Baden-Baden, Stadt;63120;*;22,8;133,8;-;0;0
JC Rastatt;63122;34;13,9;77,49;5;15,9;48,73
JC Konstanz;63402;200;17,7;113,02;34;18,9;91,73
JC Bodenseekreis;63404;73;16,2;100,23;*;17;74,12
JC Ravensburg;63408;32;13,2;85,54;*;7,9;44,6
JC Lörrach;63702;53;20,4;122,79;*;24,2;108,46
JC Waldshut;63704;52;13,9;80,52;17;16,3;70,15
JC Ludwigsburg;64148;174;17,3;107,2;28;20,1;99,61
JC Mannheim, Universitätsstadt;64402;9;14,5;87,94;-;0;0
JC Calw;64702;22;18,7;110,73;*;24,2;145,38
JC Freudenstadt;64708;28;15,9;111,79;*;12,6;104,07
JC Pforzheim, Stadt;64710;45;19,2;128,19;*;23,9;153
JC Enzkreis;64712;36;16;89,24;*;17,1;68,28
JC Ortenaukreis;65106;265;16,1;96,7;49;17,2;75,52
JC Reutlingen;66402;84;17,2;116,14;10;24,9;116,43
JC Tübingen;66404;7;21,8;163,09;*;47,6;446
JC Rems-Murr-Kreis;67102;77;17,7;123,9;5;24,5;114,44
JC Hohenlohekreis;67402;29;18,1;118,09;*;30,7;120,45
JC Schwäbisch Hall;67404;29;15,2;103,34;7;17,2;126,17
JC Neckar-Odenwald-Kreis;67408;30;16,2;93,72;*;17,4;75,85
JC Main-Tauber-Kreis;67410;54;16,7;108,1;9;24,4;154,39
JC Böblingen;67704;72;14,4;84,34;*;15,6;81,58
JC Stuttgart, Landeshauptstadt;67748;108;13,7;98,89;24;14,5;94,63
JC Ulm, Universitätsstadt;68402;32;15,7;107,86;*;20,8;114,29
JC Alb-Donau-Kreis;68404;18;19;126,34;*;18,1;107
JC Biberach;68410;17;15,6;100,73;5;19,6;102,56
JC Schwarzwald-Baar-Kreis;68702;81;16,7;108,08;*;18,6;96,4
JC Tuttlingen;68706;39;19,7;115,46;13;21,4;115,63
JC Rottweil;68708;35;21,3;124,2;*;19,9;120,45
Bayern;9;2.972;17,1;106,76;522;19,7;96,57
JC Ansbach, Stadt;71102;16;18;117,32;*;23,9;113,7
JC Weißenburg-Gunzenhausen;71108;27;22,3;110,86;*;27,2;84,44
JC Roth;71110;54;16,5;104,03;*;19,9;115,07
JC Ansbach;71146;*;26,1;93,68;*;26,1;93,68
JC Aschaffenburg, Stadt;71502;52;20,9;121,97;5;27;121,46
JC Aschaffenburg;71504;32;16;95,77;*;30;120,4
JC Miltenberg;71506;21;23,9;116,4;8;30,1;121,35
JC Bayreuth, Stadt;72302;37;18,7;101;*;21,5;87,74
JC Bayreuth;72304;8;23,9;116,37;3;28;96,33
JC Kulmbach;72306;16;20,7;114,17;*;27,7;115,6
JC Hof, Stadt;72308;82;20,3;121,22;13;26;112,32
JC Hof;72310;17;16,4;100,46;*;9,3;74,33
JC Wunsiedel im Fichtelgebirge;72312;36;18,4;110,37;*;27,5;71,4
JC Coburg, Stadt;72702;18;20,1;120,89;*;30;133,8
JC Coburg;72704;31;21,9;127,59;*;21,3;116,84
JC Kronach;72706;4;20,9;108,13;*;52,1;120,3
JC Lichtenfels;72708;27;21,1;114;*;20,6;112,71
JC Bamberg, Stadt;72710;39;15,7;96,28;*;16,7;103,09
JC Bamberg;72712;26;18,3;114,96;5;22,9;101,07
JC Forchheim;72714;*;7,8;59,47;*;10,1;89,2
